"","X.1","X","name","chamber","party","state","district","trump_score","trump_margin","predicted_score","trump_plus_minus"
"170",170,170,"Sam Graves","House"," R","MO","6",1,0.314,0.981,0.019
"171",171,171,"Steve Womack","House"," R","AR","3",1,0.314,0.981,0.019
"172",172,172,"Steven M. Palazzo","House"," R","MS","4",1,0.412,0.981,0.019
"173",173,173,"Nancy Pelosi","House"," D","CA","12",0.129,-0.775,0.11,0.019
"174",174,174,"Martha Roby","House"," R","AL","2",1,0.319,0.981,0.019
"175",175,175,"Kevin Cramer","House"," R","ND","0",1,0.357,0.982,0.018
"176",176,176,"Danny K. Davis","House"," D","IL","7",0.125,-0.782,0.107,0.018
"177",177,177,"Glenn Grothman","House"," R","WI","6",0.97,0.169,0.951,0.018
"178",178,178,"Rick Crawford ","House"," R","AR","1",1,0.348,0.982,0.018
"179",179,179,"Tom Cole","House"," R","OK","4",1,0.374,0.982,0.018
"180",180,180,"Bill Johnson","House"," R","OH","6",1,0.426,0.982,0.018
"181",181,181,"Bill Shuster","House"," R","PA","9",1,0.425,0.982,0.018
"182",182,182,"David B. McKinley","House"," R","WV","1",1,0.416,0.982,0.018
"183",183,183,"Larry Bucshon","House"," R","IN","8",1,0.337,0.982,0.018
"184",184,184,"Todd Rokita","House"," R","IN","4",1,0.341,0.982,0.018
"185",185,185,"Brett Guthrie","House"," R","KY","2",1,0.399,0.982,0.018
"186",186,186,"Chuck Fleischmann ","House"," R","TN","3",1,0.352,0.982,0.018
"187",187,187,"Blaine Luetkemeyer","House"," R","MO","3",1,0.39,0.982,0.018
"188",188,188,"Neal P. Dunn","House"," R","FL","2",1,0.356,0.982,0.018
"189",189,189,"Vicky Hartzler","House"," R","MO","4",1,0.36,0.982,0.018
"190",190,190,"Ron DeSantis","House"," R","FL","6",0.97,0.17,0.952,0.018
"191",191,191,"Clay Higgins","House"," R","LA","3",1,0.381,0.982,0.018
"192",192,192,"Tom Marino","House"," R","PA","10",1,0.359,0.982,0.018
"193",193,193,"Elijah E. Cummings","House"," D","MD","7",0.133,-0.55,0.117,0.017
"194",194,194,"Virginia Foxx","House"," R","NC","5",0.97,0.175,0.954,0.015
"195",195,195,"Mike Gallagher","House"," R","WI","8",0.97,0.176,0.955,0.015
"196",196,196,"Terri A. Sewell","House"," D","AL","7",0.152,-0.412,0.137,0.015
"197",197,197,"Norma J. Torres","House"," D","CA","35",0.156,-0.408,0.142,0.014
"198",198,198,"Michael E. Capuano","House"," D","MA","7",0.125,-0.722,0.111,0.014
"199",199,199,"Dan Newhouse","House"," R","WA","4",1,0.228,0.987,0.013
"200",200,200,"Hakeem S. Jeffries","House"," D","NY","8",0.121,-0.711,0.108,0.013
"201",201,201,"Alma S. Adams","House"," D","NC","12",0.152,-0.4,0.139,0.013
"202",202,202,"David E. Price","House"," D","NC","4",0.152,-0.4,0.139,0.013
"203",203,203,"David Rouzer","House"," R","NC","7",0.969,0.177,0.956,0.013
"204",204,204,"Carolyn B. Maloney","House"," D","NY","12",0.125,-0.698,0.113,0.012
"205",205,205,"Donald M. Payne Jr.","House"," D","NJ","10",0.1,-0.724,0.088,0.012
"206",206,206,"Frederica S. Wilson","House"," D","FL","24",0.133,-0.677,0.122,0.012
"207",207,207,"Jason Chaffetz","House"," R","UT","3",1,0.239,0.989,0.011
"208",208,208,"Joyce Beatty","House"," D","OH","3",0.152,-0.384,0.141,0.01
"209",209,209,"Gus M. Bilirakis","House"," R","FL","12",0.97,0.186,0.96,0.01
"210",210,210,"Elise M. Stefanik","House"," R","NY","21",0.939,0.139,0.931,0.009
"211",211,211,"G. K. Butterfield","House"," D","NC","1",0.156,-0.37,0.148,0.008
"212",212,212,"Val Butler Demings","House"," D","FL","10",0.182,-0.269,0.176,0.006
"213",213,213,"Eddie Bernice Johnson","House"," D","TX","30",0.133,-0.608,0.128,0.006
"214",214,214,"Michael F. Doyle","House"," D","PA","14",0.152,-0.359,0.146,0.005
"215",215,215,"Randy K. Weber Sr.","House"," R","TX","14",0.968,0.198,0.962,0.005
"216",216,216,"Al Green","House"," D","TX","9",0.121,-0.613,0.116,0.005
"217",217,217,"John Conyers Jr.","House"," D","MI","13",0.121,-0.607,0.116,0.005
"218",218,218,"Jerrold Nadler","House"," D","NY","10",0.133,-0.595,0.129,0.004
"219",219,219,"Susan A. Davis","House"," D","CA","53",0.152,-0.349,0.148,0.003
"220",220,220,"Robin L. Kelly","House"," D","IL","2",0.121,-0.589,0.118,0.003
"221",221,221,"Jackie Speier","House"," D","CA","14",0.121,-0.587,0.118,0.003
"222",222,222,"Anthony G. Brown","House"," D","MD","4",0.125,-0.585,0.122,0.003
"223",223,223,"Bill Posey","House"," R","FL","8",0.97,0.207,0.967,0.003
"224",224,224,"Joseph Crowley","House"," D","NY","14",0.121,-0.579,0.119,0.002
"225",225,225,"Keith J. Rothfus","House"," R","PA","12",0.97,0.208,0.967,0.002
"226",226,226,"Steve Cohen","House"," D","TN","9",0.121,-0.577,0.119,0.002
"227",227,227,"Trent Franks","House"," R","AZ","8",0.97,0.211,0.968,0.001
"228",228,228,"Sheila Jackson Lee","House"," D","TX","18",0.125,-0.565,0.124,0.001
"229",229,229,"Sam Johnson","House"," R","TX","3",0.931,0.142,0.93,0.001
"230",230,230,"Jeff Fortenberry","House"," R","NE","1",0.969,0.213,0.968,0.001
"231",231,231,"Sean P. Duffy","House"," R","WI","7",0.969,0.205,0.968,0.001
"232",232,232,"Scott Perry","House"," R","PA","4",0.97,0.215,0.969,0
"233",233,233,"Lloyd Doggett","House"," D","TX","35",0.152,-0.336,0.151,0
"234",234,234,"Karen Bass","House"," D","CA","37",0.1,-0.761,0.1,0
"235",235,235,"Francis Rooney","House"," R","FL","19",0.97,0.221,0.971,-0.001
"236",236,236,"Hank Johnson Jr.","House"," D","GA","4",0.125,-0.531,0.127,-0.002
"237",237,237,"Eliot L. Engel","House"," D","NY","16",0.129,-0.526,0.132,-0.003
"238",238,238,"Al Lawson Jr.","House"," D","FL","5",0.182,-0.254,0.185,-0.003
"239",239,239,"Gwen Moore","House"," D","WI","4",0.125,-0.522,0.128,-0.003
"240",240,240,"Ken Buck","House"," R","CO","4",0.97,0.231,0.973,-0.003
"241",241,241,"Stephen F. Lynch","House"," D","MA","8",0.161,-0.26,0.165,-0.004
"242",242,242,"Zoe Lofgren","House"," D","CA","19",0.121,-0.514,0.125,-0.004
"243",243,243,"Blake Farenthold","House"," R","TX","27",0.97,0.236,0.974,-0.004
"244",244,244,"Doug Lamborn","House"," R","CO","5",0.97,0.24,0.975,-0.005
"245",245,245,"Alan S. Lowenthal","House"," D","CA","47",0.152,-0.316,0.157,-0.005
"246",246,246,"José E. Serrano","House"," D","NY","15",0.091,-0.889,0.097,-0.006
